CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
108,44.42857142857143,91.0,47.0,23.0,26.0,13.0,3.0,1,29.142857142857142,91.0,47.0,23.0,26.0,13.0,3.0,-23.0,9.0,-14.0,-42.0,-30.0,15.0
482,206.14285714285714,343.0,305.0,119.0,86.0,79.0,29.0,2,137.57142857142858,343.0,305.0,119.0,86.0,79.0,29.0,-21.0,13.0,-9.0,-33.0,-32.0,14.0
965,477.85714285714283,783.0,740.0,432.0,163.0,166.0,96.0,8,341.14285714285717,783.0,740.0,432.0,163.0,166.0,96.0,-29.0,16.0,13.0,-42.0,-41.0,18.0
538,323.14285714285717,567.0,457.0,205.0,176.0,182.0,137.0,5,247.0,567.0,457.0,205.0,176.0,182.0,137.0,-65.0,-15.0,-38.0,-59.0,-58.0,22.0
835,383.42857142857144,650.0,528.0,231.0,194.0,166.0,80.0,9,265.42857142857144,650.0,528.0,231.0,194.0,166.0,80.0,-28.0,19.0,38.0,-44.0,-38.0,18.0
150,65.42857142857143,108.0,91.0,47.0,23.0,26.0,13.0,0,44.0,108.0,91.0,47.0,23.0,26.0,13.0,-24.0,7.0,1.0,-44.0,-33.0,16.0
623,291.0,482.0,343.0,305.0,119.0,86.0,79.0,7,203.0,482.0,343.0,305.0,119.0,86.0,79.0,-29.0,5.0,-24.0,-38.0,-36.0,16.0
1204,636.1428571428571,965.0,783.0,740.0,432.0,163.0,166.0,6,465.0,965.0,783.0,740.0,432.0,163.0,166.0,-36.0,3.0,-5.0,-46.0,-45.0,21.0
555,382.85714285714283,538.0,567.0,457.0,205.0,176.0,182.0,4,304.14285714285717,538.0,567.0,457.0,205.0,176.0,182.0,-70.0,-25.0,-51.0,-63.0,-62.0,25.0
1065,524.1428571428571,835.0,650.0,528.0,231.0,194.0,166.0,6,372.85714285714283,835.0,650.0,528.0,231.0,194.0,166.0,-36.0,5.0,5.0,-50.0,-43.0,22.0
258,100.42857142857143,150.0,108.0,91.0,47.0,23.0,26.0,4,64.14285714285714,150.0,108.0,91.0,47.0,23.0,26.0,-31.0,1.0,-16.0,-48.0,-38.0,18.0
723,383.0,623.0,482.0,343.0,305.0,119.0,86.0,13,281.57142857142856,623.0,482.0,343.0,305.0,119.0,86.0,-30.0,13.0,-8.0,-38.0,-40.0,18.0
1136,774.7142857142857,1204.0,965.0,783.0,740.0,432.0,163.0,10,613.8571428571429,1204.0,965.0,783.0,740.0,432.0,163.0,-39.0,13.0,23.0,-46.0,-48.0,22.0
653,450.14285714285717,555.0,538.0,567.0,457.0,205.0,176.0,12,358.57142857142856,555.0,538.0,567.0,457.0,205.0,176.0,-71.0,-21.0,-49.0,-64.0,-63.0,26.0
1185,669.7142857142857,1065.0,835.0,650.0,528.0,231.0,194.0,10,501.85714285714283,1065.0,835.0,650.0,528.0,231.0,194.0,-36.0,17.0,40.0,-51.0,-47.0,23.0
310,141.0,258.0,150.0,108.0,91.0,47.0,23.0,4,97.28571428571429,258.0,150.0,108.0,91.0,47.0,23.0,-32.0,7.0,10.0,-46.0,-42.0,21.0
491,440.85714285714283,723.0,623.0,482.0,343.0,305.0,119.0,14,372.7142857142857,723.0,623.0,482.0,343.0,305.0,119.0,-33.0,12.0,-10.0,-32.0,-31.0,13.0
554,830.5714285714286,1136.0,1204.0,965.0,783.0,740.0,432.0,14,753.4285714285714,1136.0,1204.0,965.0,783.0,740.0,432.0,-46.0,7.0,15.0,-45.0,-32.0,13.0
399,482.0,653.0,555.0,538.0,567.0,457.0,205.0,6,425.85714285714283,653.0,555.0,538.0,567.0,457.0,205.0,-76.0,-23.0,-51.0,-67.0,-41.0,15.0
947,777.2857142857143,1185.0,1065.0,835.0,650.0,528.0,231.0,14,644.0,1185.0,1065.0,835.0,650.0,528.0,231.0,-43.0,9.0,40.0,-51.0,-38.0,16.0
248,173.14285714285714,310.0,258.0,150.0,108.0,91.0,47.0,3,138.14285714285714,310.0,258.0,150.0,108.0,91.0,47.0,-42.0,1.0,12.0,-41.0,-26.0,14.0
495,494.57142857142856,491.0,723.0,623.0,482.0,343.0,305.0,12,425.57142857142856,491.0,723.0,623.0,482.0,343.0,305.0,-50.0,-11.0,-29.0,-46.0,-39.0,13.0
755,876.7142857142857,554.0,1136.0,1204.0,965.0,783.0,740.0,10,770.2857142857143,554.0,1136.0,1204.0,965.0,783.0,740.0,-57.0,-18.0,-27.0,-55.0,-40.0,15.0
317,498.0,399.0,653.0,555.0,538.0,567.0,457.0,9,454.0,399.0,653.0,555.0,538.0,567.0,457.0,-81.0,-38.0,-66.0,-73.0,-48.0,16.0
696,843.7142857142857,947.0,1185.0,1065.0,835.0,650.0,528.0,14,746.2857142857143,947.0,1185.0,1065.0,835.0,650.0,528.0,-57.0,-20.0,-7.0,-63.0,-45.0,16.0
317,211.71428571428572,248.0,310.0,258.0,150.0,108.0,91.0,7,167.42857142857142,248.0,310.0,258.0,150.0,108.0,91.0,-50.0,-20.0,-14.0,-50.0,-32.0,14.0
730,555.2857142857143,495.0,491.0,723.0,623.0,482.0,343.0,14,453.0,495.0,491.0,723.0,623.0,482.0,343.0,-61.0,-38.0,-61.0,-60.0,-54.0,25.0
909,900.8571428571429,755.0,554.0,1136.0,1204.0,965.0,783.0,28,775.0,755.0,554.0,1136.0,1204.0,965.0,783.0,-66.0,-42.0,-67.0,-67.0,-62.0,30.0
530,508.42857142857144,317.0,399.0,653.0,555.0,538.0,567.0,10,434.14285714285717,317.0,399.0,653.0,555.0,538.0,567.0,-83.0,-57.0,-79.0,-77.0,-75.0,32.0
1192,938.5714285714286,696.0,947.0,1185.0,1065.0,835.0,650.0,36,773.4285714285714,696.0,947.0,1185.0,1065.0,835.0,650.0,-66.0,-42.0,-63.0,-72.0,-63.0,31.0
209,228.57142857142858,317.0,248.0,310.0,258.0,150.0,108.0,8,199.85714285714286,317.0,248.0,310.0,258.0,150.0,108.0,-58.0,-37.0,-66.0,-66.0,-55.0,27.0
927,638.7142857142857,730.0,495.0,491.0,723.0,623.0,482.0,14,508.2857142857143,730.0,495.0,491.0,723.0,623.0,482.0,-49.0,-13.0,-34.0,-52.0,-55.0,23.0
