ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01050,44140,HUNTINGTON,MA,0.125499600,0.000000000,0.034482759,0.121632025
01053,11200,LEEDS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01054,24640,LEVERETT,MA,1.000000000,1.000000000,1.000000000,1.000000000
01056,44140,LUDLOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01057,44140,MONSON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01059,11200,NORTH AMHERST,MA,0.000000000,1.000000000,0.000000000,1.000000000
01060,11200,NORTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01061,11200,NORTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01062,11200,FLORENCE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01063,11200,NORTHAMPTON,MA,0.000000000,1.000000000,1.000000000,1.000000000
01066,11200,NORTH HATFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01068,49340,OAKHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01069,44140,PALMER,MA,0.996700508,1.000000000,1.000000000,0.997173913
01069,11200,PALMER,MA,0.003299492,0.000000000,0.000000000,0.002826087
01070,11200,PLAINFIELD,MA,0.990384615,1.000000000,1.000000000,0.990566038
01070,38340,PLAINFIELD,MA,0.006410256,0.000000000,0.000000000,0.006289308
01070,24640,PLAINFIELD,MA,0.003205128,0.000000000,0.000000000,0.003144654
01071,44140,RUSSELL,MA,1.000000000,1.000000000,1.000000000,1.000000000
01072,24640,SHUTESBURY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01073,11200,SOUTHAMPTON,MA,0.996620353,1.000000000,1.000000000,0.996816413
01073,44140,SOUTHAMPTON,MA,0.003379647,0.000000000,0.000000000,0.003183587
01074,49340,SOUTH BARRE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01075,11200,SOUTH HADLEY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01077,44140,SOUTHWICK,MA,1.000000000,1.000000000,1.000000000,1.000000000
